Регіон,Рада,Тип ради,Партія,ТВО/ОВО,"Прізвище, ім’я, по батькові",Відомості,Кількість отриманих голосів,% голосів від квоти,"Виборчий округ, в якому обрано"
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",2,Федік Степан Іванович,"Громадянин України, народився 11.03.1971 р., освіта професійно-технічна, безпартійний, ГО ""Сто ходів"", Голова, місце проживання: с. Піщане, Камінь-Каширський р-н, Волинська обл.",225.0,44.64,2
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",2,Бусько Анатолій Максимович,"Громадянин України, народився 28.04.1979 р., освіта професійно-технічна, безпартійний, Фізична особа-підприємець, місце проживання: с. Брониця, Камінь-Каширський р-н, Волинська обл.",368.0,73.01,2
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",3,Токарчук Ольга Василівна,"Громадянка України, народилася 29.09.1979 р., освіта вища, безпартійна, Черченська ЗПСМ, Завідувач, місце проживання: с. Черче, Камінь-Каширський р-н, Волинська обл.",226.0,44.84,3
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",3,Сакидон Анатолій Васильович,"Громадянин України, народився 23.08.1963 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: с. Раків Ліс, Камінь-Каширський р-н, Волинська обл.",233.0,46.23,3
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Шевчик Марія Василівна,"Громадянка України, народилася 16.02.1962 р., освіта професійно-технічна, безпартійна, Будинок культури с. Ворокомле, Директор, місце проживання: с. Ворокомле, Камінь-Каширський р-н, Волинська обл.",144.0,28.57,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Собчук Василь Іванович,"Громадянин України, народився 18.10.1979 р., освіта професійно-технічна, безпартійний, Фізична особа-підприємець, місце проживання: с. Воєгоще, Камінь-Каширський р-н, Волинська обл.",299.0,59.32,4
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Яцик Анатолій Петрович,"Громадянин України, народився 16.10.1961 р., освіта професійно-технічна, безпартійний, Фізична особа-підприємець, місце проживання: с. Погулянка, Любешівський р-н, Волинська обл.",384.0,76.19,4
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Митчик Тетяна Йосипівна,"Громадянка України, народилася 30.01.1974 р., освіта вища, безпартійна, НВК ""ЗОШ І-ІІІ ст.-гімназія"" №2 м.Каменя-Каширського, Директор, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",69.0,13.69,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Пилипчук Сергій Володимирович,"Громадянин України, народився 02.08.1977 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",87.0,17.26,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Єфімова Тетяна Михайлівна,"Громадянка України, народилася 01.05.1959 р., освіта вища, безпартійна, КАМІНЬ-КАШИРСЬКА РАЙОННА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ, Голова, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",101.0,20.03,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Ратнюк Юрій Васильович,"Громадянин України, народився 02.05.1969 р., освіта середня спеціальна, безпартійний, Фізична особа-підприємець, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",146.0,28.96,1
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",2,Корецький Володимир Іванович,"Громадянин України, народився 01.08.1975 р., освіта вища, безпартійний, ТВ ""Камінь-Каширське лісове господарство"", Директор, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",269.0,53.37,2
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",3,Ратнюк Тетяна Павлівна,"Громадянка України, народилася 22.11.1976 р., освіта вища, безпартійна, Опорний заклад загальної середньої освіти села Хотешів Камінь-Каширської районної ради Волинської області, Директор, місце проживання: с. Хотешів, Камінь-Каширський р-н, Волинська обл.",204.0,40.47,3
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",3,Пась Оксана Валентинівна,"Громадянка України, народилася 29.09.1980 р., освіта вища, безпартійна, Загальноосвітня школа І - ІІ ступенів с.Мостище Камінь - Каширської районної ради Волинської області, Директор, місце проживання: с. Видричі, Камінь-Каширський р-н, Волинська обл.",436.0,86.5,3
Волинська область,Камінь-Каширська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",4,Грицай Олександр Анатолійович,"Громадянин України, народився 01.02.1980 р., освіта вища, безпартійний, ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНЕ ЛІСОГОСПОДАРСЬКЕ АГРОПРОМИСЛОВЕ ПІДПРИЄМСТВО ""КАМІНЬ-КАШИРСЬКАГРОЛІС"", Директор, місце проживання: смт Цумань, Ківерцівський р-н, Волинська обл.",41.0,8.13,4
Волинська область,Камінь-Каширська міська рада,Міські,Українська Народна Партія,Перший кандидат,Бащук Наталія Миколаївна,"Громадянка України, народилася 05.12.1977 р., освіта вища, член Української Народної Партії, Камінь-Каширська міська рада, секретар ради, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",,,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,Українська Народна Партія,1,Йовчик Інна Євгеніївна,"Громадянка України, народилася 11.10.1978 р., освіта вища, безпартійна, КНП Камінь-Каширська ЦРЛ, лікар-невролог, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",54.0,16.26,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,Українська Народна Партія,1,Сидорчук Дмитро Степанович,"Громадянин України, народився 13.03.1960 р., освіта середня спеціальна, член Української Народної Партії, ДНЗ № 4 Світлячокм.Камінь- Каширсь-кий, електрик, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",98.0,19.44,ЄБВО
Волинська область,Камінь-Каширська міська рада,Міські,Українська Народна Партія,1,Шворак Микола Іванович,"Громадянин України, народився 15.08.1976 р., освіта вища, член Української Народної Партії, Камінь-Каширська міська рада, перший заступник міського голови, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл.",141.0,27.97,1
Волинська область,Камінь-Каширська міська рада,Міські,Українська Народна Партія,3,Сорока Володимир Федорович,"Громадянин України, народився 08.02.1974 р., освіта вища, безпартійний, ФАП с.Видричі, фельдшер, місце проживання: м. Камінь-Каширський, Камінь-Каширський р-н, Волинська обл..",92.0,18.25,3
Волинська область,Ковельська міська рада,Міські,Аграрна партія України,Перший кандидат,Смітюх Іван Євдокимович,"Громадянин України, народився 19.10.1965 р., освіта вища, член Аграрної партії України, ТзОВ ""Ковельський хлібокомбінат"", директор, місце проживання: м. Ковель, Волинська обл.",,,ЄБВО
Волинська область,Ковельська міська рада,Міські,Аграрна партія України,1,Шабанов Микола Олегович,"Громадянин України, народився 11.09.1964 р., освіта вища, безпартійний, Ковельське МТМО, медичний директор з поліклінічного розділу роботи, місце проживання: м. Ковель, Волинська обл.",89.0,18.01,1
Волинська область,Ковельська міська рада,Міські,Аграрна партія України,2,Семенюк Павло Трохимович,"Громадянин України, народився 14.06.1978 р., освіта середня спеціальна, безпартійний, виробничо-комерційне приватне підприємство ""Агропромтех центр"", директор, місце проживання: с. Тойкут, Ковельський р-н, Волинська обл.",137.0,27.73,2
Волинська область,Ковельська міська рада,Міські,Аграрна партія України,3,Александрук Руслан Миколайович,"Громадянин України, народився 11.11.1979 р., освіта вища, безпартійний, виробничий структурний підрозділ ""Рівненська дирекція залізничних перевезень"" регіональна філія ""Львівська залізниця"" Акціонерне товариство ""Українська залізниця"", начальник станції Ковель, місце проживання: м. Ковель, Волинська обл.",97.0,19.63,ЄБВО
Волинська область,Ковельська міська рада,Міські,Аграрна партія України,4,Пантелеймонова Ольга Миколаївна,"Громадянка України, народилася 20.09.1980 р., освіта вища, безпартійна, тимчасово-непрацююча, місце проживання: м. Ковель, Волинська обл.",23.0,4.65,ЄБВО
Волинська область,Ковельська міська рада,Міські,Аграрна партія України,4,Мигуля Андрій Дмитрович,"Громадянин України, народився 23.04.1976 р., освіта вища, член Аграрної партії України, КЗ ""Ковельська школа мистецтв"", директор, місце проживання: м. Ковель, Волинська обл.",207.0,41.9,4
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Перший кандидат,Федосюк Віра Іванівна,"Громадянка України, народилася 11.07.1980 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", виконавчий комітет Ковельської міської ради, секретар ради, місце проживання: м. Ковель, Волинська обл.",,,ЄБВО
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1,Середюк Тетяна Володимирівна,"Громадянка України, народилася 17.12.1963 р., освіта вища, безпартійна, заклад позашкільної освіти ""Ковельський палац учнівської молоді імені Івана Франка"", директор, місце проживання: м. Ковель, Волинська обл.",39.0,7.89,ЄБВО
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",2,Клімашевська Олена Миколаївна,"Громадянка України, народилася 11.03.1961 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", комплексна дитяча юнацька спортивна школа, директор, місце проживання: м. Ковель, Волинська обл.",66.0,13.36,ЄБВО
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",2,Кіндер Олег Олексійович,"Громадянин України, народився 10.12.1960 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Ковельська міська рада, міський голова, місце проживання: м. Ковель, Волинська обл.",107.0,21.65,ЄБВО
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",4,Рудь Юрій Євгенович,"Громадянин України, народився 20.01.1971 р., освіта вища, безпартійний, комунальне міське підприємство Ковельського міськрайонного територіального об’єднання, лікар-ендоскопіст, місце проживання: м. Ковель, Волинська обл.",160.0,32.38,4
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",Перший кандидат,Ткачук Вадим Олегович,"Громадянин України, народився 12.05.1978 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", ЗЗСО І-ІІІ ст. №2 м. Ковеля, інженер-електронік, місце проживання: м. Ковель, Волинська обл.",,,ЄБВО
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",1,Луцик Ірина Юріївна,"Громадянка України, народилася 22.12.1983 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", фізична особа- підприємець, місце проживання: м. Ковель, Волинська обл.",10.0,2.02,ЄБВО
Волинська область,Ковельська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",2,Черняков Валерій Вікторович,"Громадянин України, народився 13.11.1966 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", фізична особа- підприємець, місце проживання: м. Ковель, Волинська обл.",56.0,11.33,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",1,Дружинович Тетяна Іванівна,"Громадянка України, народилася 16.04.1985 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", заклад дошкільної освіти №4 м. Ковеля, інструктор з фізкультури, місце проживання: м. Ковель, Волинська обл.",212.0,42.91,1
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Верчук Світлана Степанівна,"Громадянка України, народилася 28.08.1966 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Центр професійного розвитку педагогічних працівників Ковельської міської ради Волинської області, директор, місце проживання: м. Ковель, Волинська обл.",98.0,19.83,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Дружинович Сергій Олександрович,"Громадянин України, народився 11.05.1979 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", заклад загальної середньої освіти №2 м. Ковеля. Волинський обласний центр національно-патріотичного виховання, туризму і краєзнавства., вчитель фізичного виховання та Захисту Вітчизни. Керівник гуртка з дитячо-юнацької військово-патріотичної гри ""Сокіл"" (""Джура"")., місце проживання: м. Ковель, Волинська обл.",166.0,33.6,2
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",3,Пашкевич Станіслав Юрійович,"Громадянин України, народився 29.07.1986 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", тимчасово не працює, місце проживання: м. Ковель, Волинська обл.",152.0,30.76,3
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",4,Козак Олег Володимирович,"Громадянин України, народився 19.07.1979 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", фізична особа підприємець, місце проживання: м. Ковель, Волинська обл.",163.0,32.99,4
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Перший кандидат,Чайка Ігор Леонтійович,"Громадянин України, народився 16.12.1964 р., освіта вища, безпартійний, філія НСТУ Регіональна дирекція UA:Волинь, кореспондент, місце проживання: м. Ковель, Волинська обл.",,,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",1,Скороход Сергій Олександрович,"Громадянин України, народився 17.03.1971 р., освіта вища, безпартійний, фізична особа – підприємець, місце проживання: м. Ковель, Волинська обл.",179.0,36.23,1
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",2,Шпіка Володимир Анатолійович,"Громадянин України, народився 01.08.1966 р., освіта вища, безпартійний, пенсіонер, місце проживання: м. Ковель, Волинська обл.",46.0,9.31,2
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",2,Багнова Оксана Леонтіївна,"Громадянка України, народилася 04.11.1970 р., освіта вища, безпартійна, ЗДО№12, директор, місце проживання: м. Ковель, Волинська обл.",95.0,19.23,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",3,Дружинович Валерій Павлович,"Громадянин України, народився 04.05.1961 р., освіта вища, безпартійний, обласна дитячо-юнацька спортивна школа дітей та молоді з інвалідністю м. Ковеля, тренер -викладач, місце проживання: м. Ковель, Волинська обл.",210.0,42.51,3
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Оксентюк Петро Віталійович,"Громадянин України, народився 17.06.1969 р., освіта вища, безпартійний, пенсіонер, місце проживання: м. Ковель, Волинська обл.",93.0,18.82,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Григола Олена Григорівна,"Громадянка України, народилася 12.02.1975 р., освіта вища, безпартійна, Ковельський фаховий медичний коледж, директор, місце проживання: м. Ковель, Волинська обл.",181.0,36.63,4
Волинська область,Ковельська міська рада,Міські,"Політична партія ""Сила і Честь""",Перший кандидат,Пініс Ігор Олексійович,"Громадянин України, народився 23.06.1975 р., освіта вища, член Політичної партії ""Сила і Честь"", Фізична особа п-ць, місце проживання: м. Ковель, Волинська обл.",,,ЄБВО
Волинська область,Ковельська міська рада,Міські,"Політична партія ""Сила і Честь""",1,Васковець Людмила Андріївна,"Громадянка України, народилася 19.01.1972 р., освіта середня спеціальна, член Політичної партії ""Сила і Честь"", Фізична особа-підприємець, місце проживання: смт Турійськ, Волинська обл.",58.0,11.74,ЄБВО
Волинська область,Ковельська міська рада,Міські,"Політична партія ""Сила і Честь""",3,Печенюк Микола Васильович,"Громадянин України, народився 11.02.1963 р., освіта середня спеціальна, член Політичної партії ""Сила і Честь"", Фізична особа п-ць, місце проживання: с. Воля-Ковельська,Волинська обл.",117.0,23.68,ЄБВО
Волинська область,Ковельська міська рада,Міські,"Політична партія ""Сила і Честь""",4,Стасюк Галина Миколаївна,"Громадянка України, народилася 20.11.1968 р., освіта середня спеціальна, член Політичної партії ""Сила і Честь"", Пасажирське вагонне депо, провідник, місце проживання: м. Ковель, Волинська обл.",83.0,16.8,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Перший кандидат,Клімук Вадим Валентинович,"Громадянин України, народився 06.01.1975 р., освіта вища, безпартійний, фізична особа-підприємець, місце проживання: м. Ковель, Волинська обл.",,,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Зайцева Маргарита Романівна,"Громадянка України, народилася 23.03.1988 р., освіта вища, безпартійна, тимчасово не працює, місце проживання: с. Боголюби, Луцький р-н, Волинська обл.",41.0,8.29,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Мілінчук Андрій Валерійович,"Громадянин України, народився 02.05.1986 р., освіта вища, безпартійний, Адвокатське об’єднання ""МКС ПАРТНЕРИ"", Керуючий партнер, адвокат, місце проживання: м. Ковель, Волинська обл.",120.0,24.29,1
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",2,Миронюк Андрій Валерійович,"Громадянин України, народився 03.11.2000 р., освіта професійно-технічна, безпартійний, Ковельське АТП, Менеджер з продажу, місце проживання: м. Ковель, Волинська обл.",135.0,27.32,2
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",3,Сеник Наталія Андріївна,"Громадянка України, народилася 09.12.1969 р., освіта вища, безпартійна, КОВЕЛЬСЬКЕ МІСЬКРАЙОННЕ ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ’ЄДНАННЯ, Лікар-дерматовенеролог, місце проживання: м. Ковель, Волинська обл.",184.0,37.24,ЄБВО
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",3,Уніга Олег Вікторович,"Громадянин України, народився 09.05.1990 р., освіта вища, безпартійний, ТОВ ""ЕНСОЛ УКРАЇНА"", Фінансовий директор, місце проживання: м. Луцьк, Волинська обл.",355.0,71.86,3
Волинська область,Ковельська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",4,Шворак Роман Григорович,"Громадянин України, народився 05.08.1984 р., освіта вища, безпартійний, фізична особа-підприємець, місце проживання: м. Ковель, Волинська обл.",145.0,29.35,4
Волинська область,Любомльська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Перший кандидат,Сачук Ганна Василівна,"Громадянка України, народилася 03.12.1957 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Любомльська районна рада, Заступник голови районної ради",,,ЄБВО
Волинська область,Любомльська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1,Федчишин Дмитро Сергійович,"Громадянин України, народився 01.10.1991 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", КНГ ""Центр первинної медичної допомоги"" Любомльської районної ради, Заступник директора",57.0,22.52,ЄБВО
Волинська область,Любомльська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",2,Глушук Анатолій Володимирович,"Громадянин України, народився 20.05.1980 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Тимчасово не працює",87.0,34.38,ЄБВО
Волинська область,Любомльська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",Перший кандидат,Духницький Сергій Анатолійович,"Громадянин України, народився 08.02.1972 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Фізична особа-підприємець",,,ЄБВО
Волинська область,Любомльська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",3,Посельський Олег Ростиславович,"Громадянин України, народився 23.02.1971 р., освіта середня спеціальна, член політичної партії Всеукраїнське об’єднання ""Свобода"", Фізична особа-підприємець",33.0,13.04,ЄБВО
Волинська область,Любомльська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",3,Самолюк Леонід Іванович,"Громадянин України, народився 23.05.1969 р., освіта середня спеціальна, член політичної партії Всеукраїнське об’єднання ""Свобода"", Фізична особа-підприємець",40.0,15.81,ЄБВО
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Перший кандидат,Дитина Анатолій Іванович,"Громадянин України, народився 29.05.1974 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Вишнівська сільська рада, Начальник відділу з питань земельних ресурсів, кадастру та екологічної безпеки",,,ЄБВО
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Півнюк Андрій Андрійович,"Громадянин України, народився 06.02.1972 р., освіта вища, безпартійний, Тимчасово не працює",53.0,20.94,ЄБВО
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",Перший кандидат,Ющук Роман Васильович,"Громадянин України, народився 07.06.1986 р., освіта вища, безпартійний, Любомльська міська рада, Міський голова",,,ЄБВО
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",1,Зламанюк Олег Михайлович,"Громадянин України, народився 23.09.1985 р., освіта вища, безпартійний, Любомльська міська рада, Заступник міського голови",124.0,49.01,1
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",2,Мікульський Олександр Олександрович,"Громадянин України, народився 28.09.1981 р., освіта вища, безпартійний, Любомльська районна організація українського товариства мисливців і рибалок, Голова",54.0,21.34,ЄБВО
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",2,Оніщук Микола Володимирович,"Громадянин України, народився 19.05.1980 р., освіта вища, безпартійний, Любомльська міська рада, Заступник міського голови",163.0,64.42,2
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",3,Богуш Василь Васильович,"Громадянин України, народився 21.08.1961 р., освіта вища, безпартійний, Фізична особа-підприємець",171.0,67.58,3
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Фізик Ольга Павлівна,"Громадянка України, народилася 03.05.1979 р., освіта вища, безпартійна, Запільський старостинський округ Любомльської міської ради, Виконуюча обов’язки старости",70.0,27.66,ЄБВО
Волинська область,Любомльська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",4,Думало Олександр Анатолійович,"Громадянин України, народився 01.05.1983 р., освіта вища, безпартійний, Фізична особа-підприємець",132.0,52.17,4
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Радикальна Партія Олега Ляшка""",Перший кандидат,Фурманюк Антон Валерійович,"Громадянин України, народився 19.02.1994 р., освіта вища, член Політичної партії ""Радикальна Партія Олега Ляшка"", Любомльська міська рада, Секретар",,,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Радикальна Партія Олега Ляшка""",3,Прядун Дмитро Сергійович,"Громадянин України, народився 03.06.1991 р., освіта вища, член Політичної партії ""Радикальна Партія Олега Ляшка"", Тимчасово не працює",18.0,7.11,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Радикальна Партія Олега Ляшка""",3,Фурманюк Валерій Олексійович,"Громадянин України, народився 13.04.1962 р., освіта вища, член Політичної партії ""Радикальна Партія Олега Ляшка"", Любомльське МСЛП, Директор",92.0,36.36,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Радикальна Партія Олега Ляшка""",4,Дидик Тетяна Володимирівна,"Громадянка України, народилася 05.02.1976 р., освіта вища, безпартійна, Запільський ЗДО, Директор",12.0,4.74,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Сила і Честь""",Перший кандидат,Дзядук Олександр Григорович,"Громадянин України, народився 21.10.1978 р., освіта вища, член Політичної партії ""Сила і Честь"", Приватне підприємство ""Профелітбуд"", Приватний підприємець",,,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Сила і Честь""",1,Веремчук Наталія Григорівна,"Громадянка України, народилася 02.05.1979 р., освіта вища, безпартійна, Городненська ЗЗСО 1-11 ст. Любомльського району Волинської області, Вчитель",42.0,16.6,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Сила і Честь""",1,Дець Олександр Володимирович,"Громадянин України, народився 05.09.1966 р., освіта вища, безпартійний, КНП ""Любомльське ТМО Любомльської районної ради"", Завідувач хірургічним відділенням",50.0,19.76,ЄБВО
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Сила і Честь""",1,Дячук Віталій Федорович,"Громадянин України, народився 30.10.1970 р., освіта професійно-технічна, член Політичної партії ""Сила і Честь"", Любомльська міська рада Волинської області, Адміністратор центру надання адміністративних послуг",74.0,29.24,1
Волинська область,Любомльська міська рада,Міські,"Політична партія ""Сила і Честь""",2,Троць Микола Васильович,"Громадянин України, народився 03.12.1967 р., освіта професійно-технічна, член Політичної партії ""Сила і Честь"", ТзОВ ""Любомль-ринок"", Директор",120.0,47.43,2
