Партія,Регіон,Рада,Кількість обраних,Кількість висунутих
Аграрна партія України,Волинська область,Берестечківська міська рада,8,
Аграрна партія України,Волинська область,Горохівська міська рада,6,26
Аграрна партія України,Волинська область,Камінь-Каширська міська рада,0,28
Аграрна партія України,Волинська область,Ковельська міська рада,6,24
Аграрна партія України,Волинська область,Ківерцівська міська рада,0,26
Аграрна партія України,Волинська область,Луцька міська рада,0,40
Аграрна партія України,Волинська область,Рожищенська міська рада,0,16
Аграрна партія України,Дніпропетровська область,Апостолівська міська рада,2,16
Аграрна партія України,Дніпропетровська область,П'ятихатська міська рада,0,17
Аграрна партія України,Дніпропетровська область,Підгородненська міська рада,2,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Володимир-Волинська міська рада,4,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Горохівська міська рада,3,24
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Камінь-Каширська міська рада,5,32
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Ковельська міська рада,5,38
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Ківерцівська міська рада,4,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Луцька міська рада,9,39
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Любомльська міська рада,2,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Нововолинська міська рада,6,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Рожищенська міська рада,5,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Устилузька міська рада,3,
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Іллінецька міська рада,4,23
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Барська міська рада,4,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Бершадська міська рада,4,33
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Вінницька міська рада,9,54
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Гайсинська міська рада,6,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Гніванська міська рада,4,25
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Жмеринська міська рада,3,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Калинівська міська рада,4,33
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Козятинська міська рада,5,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Ладижинська міська рада,3,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Липовецька міська рада,5,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Могилів-Подільська міська рада,4,33
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Немирівська міська рада,3,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Погребищенська міська рада,3,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Тульчинська міська рада,5,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Хмільницька міська рада,4,31
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Шаргородська міська рада,3,22
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Ямпільська міська рада,2,23
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Апостолівська міська рада,2,16
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Верхньодніпровська міська рада,3,25
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Вільногірська міська рада,2,25
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Дніпровська міська рада,7,60
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Жовтоводська міська рада,5,30
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Зеленодольська міська рада,2,17
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Кам'янська міська рада,4,33
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Криворізька міська рада,5,54
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Марганецька міська рада,3,19
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Новомосковська міська рада,4,25
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Нікопольська міська рада,4,38
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,П'ятихатська міська рада,2,16
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Павлоградська міська рада,4,36
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Перещепинська міська рада,3,24
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Першотравенська міська рада,3,19
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Покровська міська рада,3,25
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Підгородненська міська рада,0,21
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Синельниківська міська рада,3,13
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Дніпропетровська область,Тернівська міська рада,2,16
"ПОЛІТИЧНА ПАРТІЯ ""АДВОКАТ""",Вінницька область,Вінницька міська рада,0,31
"ПОЛІТИЧНА ПАРТІЯ ""БДЖОЛА""",Дніпропетровська область,Кам'янська міська рада,21,41
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",Дніпропетровська область,Апостолівська міська рада,2,25
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",Дніпропетровська область,Верхньодніпровська міська рада,0,26
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",Дніпропетровська область,Вільногірська міська рада,2,26
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",Дніпропетровська область,Дніпровська міська рада,5,63
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",Дніпропетровська область,Жовтоводська міська рада,3,27
